Team,Gm#,Date,,Tm, ,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
LAD,36,"Sunday, May 5",boxscore,LAD,,ATL,W,5,1,,23-13,1,up 5.5,Paxton,Fried,,2:07,D,"52,733",1.28,++++,
LAD,37,"Monday, May 6",boxscore,LAD,,MIA,W,6,3,,24-13,1,up 5.5,Yarbrough,MuÃ±oz,Vesia,2:19,N,"44,970",1.22,+++++,
LAD,38,"Tuesday, May 7",boxscore,LAD,,MIA,W,8,2,,25-13,1,up 6.5,Yamamoto,Cabrera,,2:11,N,"51,496",1.20,++++++,
LAD,39,"Wednesday, May 8",boxscore,LAD,,MIA,W,3,1,,26-13,1,up 6.5,Stone,Weathers,Hudson,1:55,D,"40,702",1.19,+++++++,
LAD,40,"Friday, May 10",boxscore,LAD,@,SDP,L-wo,1,2,,26-14,1,up 5.5,Suarez,Grove,,2:12,N,"43,388",1.31,-,
LAD,41,"Saturday, May 11",boxscore,LAD,@,SDP,W,5,0,,27-14,1,up 6.5,Paxton,Waldron,,2:36,N,"46,701",1.39,+,
LAD,42,"Sunday, May 12",boxscore,LAD,@,SDP,L,0,4,,27-15,1,up 5.5,Darvish,Buehler,,2:35,D,"43,881",1.34,-,
LAD,43,"Monday, May 13",boxscore,LAD,@,SFG,W,6,4,10,28-15,1,up 6.5,Treinen,Rogers,Feyereisen,2:55,N,"35,033",1.28,+,
LAD,44,"Tuesday, May 14",boxscore,LAD,@,SFG,W,10,2,,29-15,1,up 7.5,Stone,Winn,,2:36,N,"33,575",1.27,++,
LAD,45,"Wednesday, May 15",boxscore,LAD,@,SFG,L,1,4,,29-16,1,up 7.5,Webb,HernÃ¡ndez,Doval,2:23,N,"36,027",1.22,-,
LAD,46,"Thursday, May 16",boxscore,LAD,,CIN,L,2,7,,29-17,1,up 7.0,Martinez,Glasnow,,2:49,N,"53,527",1.16,--,
LAD,47,"Friday, May 17",boxscore,LAD,,CIN,W,7,3,,30-17,1,up 7.0,Grove,Cruz,,2:19,N,"46,832",1.19,+,
LAD,48,"Saturday, May 18",boxscore,LAD,,CIN,W,4,0,,31-17,1,up 7.5,Buehler,Ashcraft,,2:07,N,"49,239",1.19,++,
LAD,49,"Sunday, May 19",boxscore,LAD,,CIN,W-wo,3,2,10,32-17,1,up 7.5,Banda,DÃ­az,,2:54,D,"52,656",1.13,+++,
LAD,50,"Monday, May 20",boxscore,LAD,,ARI,W,6,4,,33-17,1,up 8.0,Yamamoto,Cecconi,Hudson,2:39,N,"37,634",1.24,++++,
LAD,51,"Tuesday, May 21",boxscore,LAD,,ARI,L,3,7,,33-18,1,up 8.0,Pfaadt,Stone,,2:30,N,"46,180",1.21,-,
LAD,52,"Wednesday, May 22",boxscore,LAD,,ARI,L,0,6,,33-19,1,up 7.0,Nelson,Glasnow,,2:40,N,"46,593",1.22,--,
LAD,53,"Friday, May 24",boxscore,LAD,@,CIN,L,6,9,,33-20,1,up 6.5,Ashcraft,RamÃ­rez,,2:56,N,"40,074",1.17,---,
LAD,54,"Saturday, May 25",boxscore,LAD,@,CIN,L,1,3,,33-21,1,up 5.5,Greene,Buehler,DÃ­az,2:29,N,"41,880",1.19,----,
LAD,55,"Sunday, May 26",boxscore,LAD,@,CIN,L,1,4,,33-22,1,up 5.5,Martinez,Yamamoto,DÃ­az,2:27,D,"35,619",1.24,-----,
LAD,56,"Tuesday, May 28 (1)",boxscore,LAD,@,NYM,W,5,2,10,34-22,1,up 5.5,Hudson,LÃ³pez,Treinen,2:42,N,,1.25,+,
LAD,57,"Tuesday, May 28 (2)",boxscore,LAD,@,NYM,W,3,0,,35-22,1,up 5.5,Stone,Quintana,Vesia,2:18,N,"36,021",1.27,++,
LAD,58,"Wednesday, May 29",boxscore,LAD,@,NYM,W,10,3,,36-22,1,up 6.5,Treinen,Ottavino,,3:20,D,"23,890",1.24,+++,
LAD,59,"Friday, May 31",boxscore,LAD,,COL,L,1,4,,36-23,1,up 5.5,Hudson,Buehler,Beeks,2:20,N,"47,542",1.17,-,
LAD,Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
LAD,60,"Saturday, Jun 1",boxscore,LAD,,COL,W,4,1,,37-23,1,up 5.5,Yamamoto,Quantrill,Phillips,2:41,N,"50,182",1.21,+,
LAD,61,"Sunday, Jun 2",boxscore,LAD,,COL,W,4,0,,38-23,1,up 6.5,Stone,Gomber,,2:29,D,"48,251",1.16,++,
LAD,62,"Tuesday, Jun 4",boxscore,LAD,@,PIT,L,0,1,,38-24,1,up 7.0,Jones,Glasnow,Bednar,2:21,N,"24,168",1.15,-,
LAD,63,"Wednesday, Jun 5",boxscore,LAD,@,PIT,L,6,10,,38-25,1,up 7.0,Skenes,Paxton,,2:45,N,"29,716",1.20,--,
LAD,64,"Thursday, Jun 6",boxscore,LAD,@,PIT,W,11,7,,39-25,1,up 8.0,Grove,Falter,,3:08,N,"22,752",1.21,+,
LAD,65,"Friday, Jun 7",boxscore,LAD,@,NYY,W,2,1,11,40-25,1,up 8.0,Grove,Hamilton,RamÃ­rez,3:21,N,"48,048",1.15,++,
LAD,66,"Saturday, Jun 8",boxscore,LAD,@,NYY,W,11,3,,41-25,1,up 8.0,Stone,CortÃ©s,,3:17,N,"48,374",1.10,+++,
LAD,67,"Sunday, Jun 9",boxscore,LAD,@,NYY,L,4,6,,41-26,1,up 8.0,Ferguson,Glasnow,Holmes,2:44,N,"48,023",1.08,-,
LAD,68,"Tuesday, Jun 11",boxscore,LAD,,TEX,W,15,2,,42-26,1,up 7.5,Paxton,Dunning,,2:40,N,"51,416",1.14,+,
LAD,69,"Wednesday, Jun 12",boxscore,LAD,,TEX,L,2,3,,42-27,1,up 6.5,Latz,Buehler,Yates,2:51,N,"48,930",1.07,-,
LAD,70,"Thursday, Jun 13",boxscore,LAD,,TEX,L,1,3,,42-28,1,up 6.0,Lorenzen,Grove,Yates,2:31,N,"50,134",1.14,--,
LAD,71,"Friday, Jun 14",boxscore,LAD,,KCR,W,4,3,,43-28,1,up 7.0,Hudson,Smith,Vesia,2:01,N,"49,580",1.21,+,
LAD,72,"Saturday, Jun 15",boxscore,LAD,,KCR,L,2,7,,43-29,1,up 7.0,Lugo,Treinen,,2:32,N,"50,423",1.16,-,
LAD,73,"Sunday, Jun 16",boxscore,LAD,,KCR,W,3,0,,44-29,1,up 8.0,Glasnow,Singer,Phillips,2:05,D,"52,789",1.20,+,
LAD,74,"Monday, Jun 17",boxscore,LAD,@,COL,W,9,5,,45-29,1,up 8.5,Paxton,Quantrill,,2:44,N,"32,021",1.13,++,
LAD,75,"Tuesday, Jun 18",boxscore,LAD,@,COL,W,11,9,,46-29,1,up 9.0,Petersen,Vodnik,Phillips,2:55,N,"33,791",1.14,+++,
LAD,76,"Wednesday, Jun 19",boxscore,LAD,@,COL,L-wo,6,7,,46-30,1,up 9.0,Beeks,RamÃ­rez,,2:30,N,"37,503",1.03,-,
LAD,77,"Thursday, Jun 20",boxscore,LAD,@,COL,W,5,3,,47-30,1,up 9.0,Stone,Blach,Phillips,2:34,D,"40,236",1.10,+,
